LocationAbbr,LocationDesc,MortalityPer100k
AL,Madison County,392.9
AL,Marengo County,483.9
AL,Marion County,567.4
AL,Marshall County,528
AL,Mobile County,436.6
AL,Monroe County,389.2
AL,Montgomery County,355.9
AL,Morgan County,465.1
AL,Perry County,516.2
AL,Pickens County,386
AL,Pike County,421.4
AL,Randolph County,446.6
AL,Russell County,358.7
AL,St. Clair County,442
AL,Shelby County,307.8
AL,Sumter County,440
AL,Talladega County,463.2
AL,Tallapoosa County,418.8
AL,Tuscaloosa County,375.9
AL,Walker County,616.4
AL,Washington County,522.5
AL,Wilcox County,459.9
AL,Winston County,425.7
AL,Autauga County,532.7
AL,Baldwin County,457.2
AL,Barbour County,532.5
AL,Bibb County,551.9
AL,Blount County,460.6
AL,Bullock County,488.8
AL,Butler County,553.9
AL,Calhoun County,699.9
AL,Chambers County,454.7
AL,Cherokee County,554.1
AL,Chilton County,595.7
AL,Choctaw County,625
AL,Clarke County,485.9
AL,Clay County,535.3
AL,Cleburne County,606.7
AL,Coffee County,564.9
AL,Colbert County,672.3
AL,Conecuh County,578.9
AL,Coosa County,450.9
AL,Covington County,572.5
AL,Crenshaw County,522.7
AL,Cullman County,507.2
AL,Dale County,537.1
AL,Dallas County,592.4
AL,DeKalb County,693.4
AL,Elmore County,519.3
AL,Escambia County,543.8
AL,Etowah County,690.2
AL,Fayette County,584.4
AL,Franklin County,710.7
AL,Geneva County,573.2
AL,Greene County,501
AL,Hale County,522.8
AL,Henry County,570.2
AL,Houston County,493.2
AL,Jackson County,653.1
AL,Jefferson County,461.3
AL,Lamar County,579.9
AL,Lauderdale County,475.1
AL,Lawrence County,705.2
AL,Lee County,426.7
AL,Limestone County,588.5
AL,Lowndes County,499.8
AL,Macon County,503.6
AL,Madison County,494.8
AL,Marengo County,578.9
AL,Marion County,659.1
AL,Marshall County,646.8
AL,Mobile County,549.1
AL,Monroe County,489
AL,Montgomery County,492.8
AL,Morgan County,555.2
AL,Perry County,628.1
AL,Pickens County,491.6
AL,Pike County,513.9
AL,Randolph County,527.1
AL,Russell County,426.3
AL,St. Clair County,527.4
AL,Shelby County,397.1
AL,Sumter County,572.1
AL,Talladega County,538
AL,Tallapoosa County,494.5
AL,Tuscaloosa County,496.2
AL,Walker County,712.6
AL,Washington County,633.1
AL,Wilcox County,552.3
AL,Winston County,499.8
AL,Autauga County,353.9
AL,Baldwin County,308
AL,Barbour County,336.5
AL,Bibb County,360.8
AL,Blount County,328.2
AL,Bullock County,296.9
AL,Butler County,357.6
AL,Calhoun County,436.6
AL,Chambers County,345.9
AL,Cherokee County,404
AL,Chilton County,464.3
AL,Choctaw County,398.9
AL,Clarke County,317.8
